model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_rasch_twopl_voteuser_grid_40_45_15_user_discriminative_rich,1000,0.8406951895971628,0.7911472262275775,0.3851320880075994,0.1183230375555593,0.9004105887291676,0.9275981830621732,16
neural_memory_mirt_rasch_twopl_voteuser_hybrid_w45_40_15_user_discriminative_rich,1000,0.8406838228607802,0.7908035735756543,0.3852639377735772,0.1183568638357444,0.9004138121772002,0.9571256052499848,16
neural_memory_mirt_rasch_twopl_voteuser_hybrid_w45_40_15_user_discriminative_l2,1000,0.8406156224424843,0.7906875359379176,0.3852999879829903,0.1183575051377846,0.9003891548244859,1.003514138874607,16
neural_memory_mirt_rasch_twopl_voteuser_grid_45_35_20_user_discriminative_rich,1000,0.8406099390742929,0.7906641009769808,0.3838589899586153,0.1183488306759247,0.9005662204812294,0.9156124304374772,16
neural_memory_mirt_rasch_twopl_voteuser_grid_50_30_20_user_discriminative_rich,1000,0.8405815222333364,0.7903433715175964,0.3840095159632201,0.1183874248946648,0.9005712458913627,0.9256767278752704,16
neural_memory_mirt_rasch_voteuser_hybrid_w75_25_user_discriminative_l2,1000,0.840575838865145,0.7874176365181619,0.3841388404867533,0.118672320528345,0.9007682449307228,0.9492502284376768,16
neural_memory_mirt_rasch_twopl_voteuser_grid_50_35_15_user_discriminative_rich,1000,0.8405019550786578,0.7902551530052886,0.3854010721536912,0.1183927609222534,0.9004179039526352,0.9319922771246638,16
neural_memory_mirt_rasch_voteuser_kernel_hybrid_w80_15_05_user_discriminative_l2,1000,0.8404621715013185,0.7909136721700974,0.3860495084362618,0.118691523915458,0.9005061151635796,1.0978265541878045,16
neural_memory_mirt_rasch_voteuser_hybrid_w75_25_user_discriminative_rich,1000,0.8404508047649359,0.7872708969523011,0.3840975254372251,0.1186710625365532,0.9007905834077736,0.9141383459373174,16
neural_memory_mirt_rasch_voteuser_kernel_hybrid_w80_15_05_user_discriminative_rich,1000,0.840416704555788,0.7908810035926566,0.3860467920549909,0.1186903687606092,0.9005751328618355,1.0841299486876323,16
neural_memory_mirt_rasch_twopl_voteuser_grid_55_30_15_user_discriminative_rich,1000,0.840416704555788,0.7898061792115266,0.3855434528314903,0.1184307281955148,0.9004236410468717,0.904233752562277,16
neural_memory_mirt_rasch_voteuser_grid_80_20_user_discriminative_rich,1000,0.8401836864599436,0.783635993502318,0.3850179787836644,0.1186624710652013,0.9006008526124817,0.9221741437497712,16
neural_memory_mirt_rasch_voteuser_hybrid_w85_15_user_discriminative_rich,1000,0.840121169409839,0.7824469104024913,0.3865054140982484,0.1187020218227337,0.9004396925688575,1.0399753026874805,16
neural_memory_mirt_rasch_voteuser_hybrid_w85_15_user_discriminative_l2,1000,0.8400870692006911,0.7822608914139619,0.386542993409024,0.1187028953403703,0.9004142858580564,1.0436277492499355,16
neural_memory_mirt_rasch_voteuser_hybrid_w90_10_user_discriminative_l2,1000,0.8399052014185687,0.7793382853168245,0.3889531751879401,0.1187903380739474,0.9003352657502992,0.9205662645001668,16
neural_memory_mirt_rasch_voteuser_hybrid_w90_10_user_discriminative_rich,1000,0.8398995180503774,0.7793348751110655,0.3889174242054735,0.1187897161536783,0.9003597478480664,0.921914532999608,16
neural_memory_mirt_rasch_voteuser_grid_60_40_user_discriminative_rich,1000,0.8398426843684641,0.7899448885900995,0.3833940945163044,0.118985688109719,0.9013250822450048,0.9211287642499428,16
neural_memory_mirt_twopl_voteuser_hybrid_w85_15_user_discriminative_l2,1000,0.8397858506865509,0.7942036637830301,0.384307374028126,0.1181273548863827,0.9003717803851656,0.9016802295623164,16
neural_memory_mirt_twopl_voteuser_hybrid_w85_15_user_discriminative_rich,1000,0.8397347003728289,0.7941437993463077,0.3842734867520298,0.1181269758380949,0.9003972072174331,0.8913190391883745,16
neural_memory_mirt_rasch_voteuser_grid_65_35_user_discriminative_rich,1000,0.8397233336364464,0.7899321399650848,0.3833603657782781,0.1188326721659096,0.9011530878200882,0.9335347093751808,16
