estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source,source_path
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35,1000,0.7910250703539067,0.8397858506865509,0.4112464603421158,0.1188148202189854,0.8993938652098299,0.4469252999999753,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w80_20,1000,0.7909793332437909,0.8400131854142039,0.4104948071274646,0.1188164759455834,0.8994701752500102,1.6286242028751303,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w70_30,1000,0.7909640164074656,0.8398881513139947,0.4110081028528045,0.1188245944851332,0.8993938735151684,1.855173416374896,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w80_20,1000,0.7909427451706019,0.8400416022551604,0.410584967463006,0.1188507686819328,0.8993940457297803,1.792781782812483,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w90_10,1000,0.7909114331090417,0.840189369828135,0.4101275060696051,0.1188475683314161,0.8994705079429076,1.8627620513125864,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w90_10,1000,0.790911174295175,0.8402007365645175,0.4102275286614352,0.1188857769773592,0.8993941793354352,1.6301306473751538,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w50_50_bp060,1000,0.790835453609884,0.8389049286168955,0.4117865057858255,0.1186894504548293,0.8988328392539214,0.442941429812663,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,1000,0.7907023724314285,0.8400302355187779,0.409905108096521,0.1184722493039465,0.8983820193948565,1.261486354500022,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w70_30,1000,0.7907012106517599,0.8399506683640993,0.4102813015778899,0.1185538008298947,0.8988446733043484,2.1683669148124523,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w70_30,1000,0.7906966040243022,0.8399506683640993,0.4102783687595361,0.1185528777081355,0.8988433948593162,1.699654631124929,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
