model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.47), np.float64(0.135), np.float64(0.065)] | b=0.010",1000,0.8414226607256524,0.8371281392307639,0.3834196742263792,0.11852272881617576,0.9127849507717616
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.41), np.float64(0.16), np.float64(0.07)] | b=0.010",1000,0.8414226607256524,0.8371211710405027,0.3832817554025586,0.1185554571466056,0.9130445844001828
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.46), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414226607256524,0.8371072346599799,0.3831642348861811,0.11852633374869011,0.9129473240276724
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.41), np.float64(0.15), np.float64(0.07)] | b=0.010",1000,0.8414226607256524,0.8371030537458233,0.3832905298472215,0.11855488234480797,0.9130268319373671
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.41), np.float64(0.135), np.float64(0.065)] | b=0.010",1000,0.8414226607256524,0.8371030537458233,0.38358278977464944,0.11855778576346884,0.9128552063093804
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.44), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414226607256524,0.8371002664697187,0.383219300396954,0.11853807515017929,0.9129701637479541
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.31), np.float64(0.48), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414226607256524,0.8369190935229254,0.3831175804160782,0.11852347901498225,0.9129248599563717
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.41), np.float64(0.14), np.float64(0.07)] | b=0.020",1000,0.8414226607256524,0.8369023698662983,0.3833098057887336,0.11856439005951401,0.9130027220908449
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.31), np.float64(0.48), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8414169773574611,0.8371537285311355,0.3836984647796833,0.11851728246212136,0.9126709290466095
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.46), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414169773574611,0.8371481539789265,0.3837632484319815,0.118529773581444,0.9126686929845771
