model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.165, 0.065] | b=0.020",100,0.8192296377237959,0.8156681531352322,0.41946054159273766,0.1322452878023072,0.8945683736155599
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.175, 0.05] | b=0.020",100,0.8192296377237959,0.8155419978375147,0.42048614812478646,0.13224530965292405,0.8942280290085681
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.785, 0.155, 0.06] | b=0.020",100,0.8192243842985627,0.8156705690857167,0.41962400377144543,0.1322029335840513,0.8944757305616382
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.18, 0.05] | b=0.020",100,0.8192243842985627,0.8155110897470927,0.4205337223643879,0.13226124800331665,0.894216503244514
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.78, 0.165, 0.055] | b=0.020",100,0.8192191308733294,0.8155991960884796,0.4200222918696532,0.13222252356846023,0.8943512757415857
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.76, 0.18, 0.06] | b=0.020",100,0.8192191308733294,0.8155658720475731,0.41985588300630633,0.13228033539299888,0.8944283371949078
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.17, 0.065] | b=0.010",100,0.8192138774480962,0.8159098594173494,0.41950961630879213,0.13225427718847638,0.894558956763537
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.16, 0.07] | b=0.020",100,0.8192138774480962,0.8156920630071389,0.4192074067094607,0.1322446931310254,0.8946862840951668
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.175, 0.055] | b=0.010",100,0.8192086240228629,0.8158456272860208,0.42011440707329345,0.1322462710317464,0.8943303943319725
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.18, 0.055] | b=0.010",100,0.8192086240228629,0.8158301554098857,0.4201621074904394,0.13226230677519513,0.8943188626988052
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.78, 0.16, 0.06] | b=0.020",100,0.8192086240228629,0.8156385421746734,0.4196688269008881,0.13221766189401798,0.8944680498491289
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.185, 0.05] | b=0.020",100,0.8192086240228629,0.8154850135576398,0.4205820751200792,0.13227756324683143,0.894203435524741
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.765, 0.165, 0.07] | b=0.010",100,0.8192033705976297,0.815936113916044,0.4192577080469747,0.13225381893616053,0.8946774075928117
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.165, 0.06] | b=0.010",100,0.8192033705976297,0.8159004095865013,0.41971520962879727,0.1322258698185043,0.8944595467341514
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.785, 0.16, 0.055] | b=0.020",100,0.8192033705976297,0.8156052537956152,0.41997688514172316,0.13220756621398166,0.8943602950031269
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.775, 0.17, 0.055] | b=0.020",100,0.8192033705976297,0.815563598744482,0.4200684774721212,0.13223785608801392,0.8943416599545814
"rasch25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.77, 0.16, 0.07] | b=0.010",100,0.8191981171723964,0.8159397200108467,0.41921172945458796,0.13223847148675258,0.8946862833126186
